Company	Full address	Street	City	State	Code
Barnhart Bros. & Spindler	183 Monroe street,Chicago,IL	183 Monroe street	Chicago	IL	6
Bartels Thelen & Company	Lincoln street,Boston,MA	Lincoln street	Boston	MA	6
Bartlett Hayward & Company	Scott and Pratt streets,Baltimore,MD	Scott and Pratt streets	Baltimore	MD	6
Battle Creek Breakfast Food Company Ltd	Front street,Quincy,IL	Front street	Quincy	IL	6
Bausch & Lomb Optical Company	,Rochester,NY		Rochester	NY	6
Becker-Brainard Milling Machine Company	110 Business street,Hyde Park,MA	110 Business street	Hyde Park	MA	6
Beech-Nut Packing Company	,Canajoharie,NY		Canajoharie	NY	6
Bellmark Pottery Company	New York avenue,Trenton,NJ	New York avenue	Trenton	NJ	6
Benj. WV Greer	Germantown,Philadelphia,PA	Germantown	Philadelphia	PA	6
Benjamin Atha & Company	Lister avenue,Newark,NJ	Lister avenue	Newark	NJ	6
Berghoff Brewing Company	1025 Grant avenue,Fort Wayne,IN	1025 Grant avenue	Fort Wayne	IN	6
Bering Manufacturing Company Inc	,Houston,TX		Houston	TX	6
Berlin Construction Company	,Berlin,CT		Berlin	CT	6
Bernhard Stern & Sons	Cherry and Commerce streets,Milwaukee,WI	Cherry and Commerce streets	Milwaukee	WI	6
Berry Foundry and Manufacturing Company	,St Joseph,MO		St Joseph	MO	6
Berwind-White Coal Mining Company	1 Broadway,New York,NY	1 Broadway	New York	NY	6
Bessemer Coke Company	Lewis building,Pittsburgh,PA	Lewis building	Pittsburgh	PA	6
Bessemer Limestone Company	Second National Bank building,Youngstown,OH	Second National Bank building	Youngstown	OH	6
Bethlehem Steel Company	,South Bethlehem,PA		South Bethlehem	PA	6
Bettendorf Metal Wheel Company	,Davenport,IA		Davenport	IA	6
Bibb Manufacturing Company	,Macon,GA		Macon	GA	6
Bill Bell & Company	1-2 River street,Ogdensburg,NY	1-2 River street	Ogdensburg	NY	6
Billings Clapp Company	178 Freeport street,Boston,MA	178 Freeport street	Boston	MA	6
Binghamton Chair Company	Montgomery street,Binghamton,NY	Montgomery street	Binghamton	NY	6
Binghamton Whip Company	72-76 Sherman place,Binghamton,NY	72-76 Sherman place	Binghamton	NY	6
Binner-Wells Company	309-311 Michigan avenue,Chicago,IL	309-311 Michigan avenue	Chicago	IL	6
Birdsey & Somers Company	349 Broadway,New York,NY	349 Broadway	New York	NY	6
Birnie Paper Company	Birnie avenue,tSpringfield,MA	Birnie avenue	tSpringfield	MA	6
Blake & Johnson	125 East Main street,Waterbury,CT	125 East Main street	Waterbury	CT	6
Blanchard Brother & Lane	20 Bruen street,Newark,NJ	20 Bruen street	Newark	NJ	6
Bliss & Van Auken	,Saginaw,MI		Saginaw	MI	6
Bodley Wagon Company	,Memphis,TN		Memphis	TN	6
Bonnet-Nance Stove Company	,Chicago Heights,IL		Chicago Heights	IL	6
Boomer & Boschert Press Company	329 West Water street,Syracuse,NY	329 West Water street	Syracuse	NY	6
Boott Mills	79 Milk street,Boston,MA	79 Milk street	Boston	MA	6
Boston Bridge Works Inc	47 Winter street,Boston,MA	47 Winter street	Boston	MA	6
Boston Counter Company	15 Milton place,Boston,MA	15 Milton place	Boston	MA	6
Bottum & Torrance	,Bennington,VT		Bennington	VT	6
Bousfield Wooden Ware Company	,Minneapolis,MN		Minneapolis	MN	6
Bradley-Ramsay Lumber Company	,Lake Charles,LA		Lake Charles	LA	6
Branch Saw Company	817 North Second street,St Louis,MO	817 North Second street	St Louis	MO	6
Brandegee Kincaid & Wood	28 Main street,Utica,NY	28 Main street	Utica	NY	6
Brandt Cashier Company	Monadnock building,Chicago,IL	Monadnock building	Chicago	IL	6
Brecht B. S. Company	Twelfth street and Cass avenue,St Louis,MO	Twelfth street and Cass avenue	St Louis	MO	6
Brickner Woolen Mills Company	,Sheboygan Falls,WI		Sheboygan Falls	WI	6
Bridge & Beach Manufacturing Company	501 South First street,St Louis,MO	501 South First street	St Louis	MO	6
Briggs & Cooper Company Limited	611-612 Bearinger building,Saginaw,MI	611-612 Bearinger building	Saginaw	MI	6
Brock & Rankin	383 La Salle street,Chicago,IL	383 La Salle street	Chicago	IL	6
Broomell Schmidt & Steacy Company	,York,PA		York	PA	6
Brown & Bigelow	Brown & Bigelow building,St Paul,MN	Brown & Bigelow building	St Paul	MN	6
Brown Knitting Company	Second street and Allegheny avenue,Philadelphia,PA	Second street and Allegheny avenue	Philadelphia	PA	6
Brown Treacy & Sperry Company	Fifth and Minnesota streets,St Paul,MN	Fifth and Minnesota streets	St Paul	MN	6
Brown-Ketcham Iron Works	2549 West Michigan street,Indianapolis,IN	2549 West Michigan street	Indianapolis	IN	6
Brox & Ryall	,Port Jervis,NY		Port Jervis	NY	6
Buckeye Engine Company	29 Franklin avenue,Salem,OH	29 Franklin avenue	Salem	OH	6
