Aberfoyle Manufacturing Company
C. H. Aborn Company
The Abrasive Material Company
The Acme Foundry Company
Acme Kitchen Furniture Company
The Acme Machinery Company
The Acme Shear Company
Acme Steel and Malleable Iron Works
Acme White Lead and Color Works
The Acushnet Mill Corporation
The S. Jarvis Adams Company
Adams & siting Company
Adams & Raymond
The Adams & Westlake Company
L. Adler Bros. & Company
David Adler & Sons Clothing Company
Adriance Platt & Company
John B. Adt
The Advance Bag Company
The Advance Machinery Company
Advance Thresher Company
The Aetna Nut Company
The Aetna Powder Company
The Ajax Metal Company
The Akron Belting Company
Alabama Steel and Wire Company
The Alaska Refrigerator Company
The Albany Card and Paper Manufacturing Company
Albany Perforated Wrapping Paper Company
The Albemarle Paper Manufacturing Company
Albion Lumber Company
Chester B. Albree Iron Works Company
D. WV Alderman & Sons Company
Aldine Grate and Mantel Company
Alexander Brothers
G. WV Alexander & Company
Alger Smith & Company
Allegheny Steel Company
Allen Brothers Company
S. L. Allen & Company
WV D. Allison Company
The Allyne Brass Foundry Company
Almy Water-Tube Boiler Company
Alpha Portland Cement Company
Henry Altemus Company
Jacob K. Altemus
Alton Paving
Amaxon Knitting Company
The American Agricultural Chemical Company
The American Ball-Bearing Company
American Blower Company
American Brake Shoe and Foundry Company
American Can Company
American Car and Foundry Company
American Caramel Company
American Chemical Manufacturing and Mining Company
The American China Company
American Circular Loom Company
The American Cotton Oil Company
American Crude Oil Burner Company
American Cutlery Company
American Diamond Rock Drill Company
American Dyewood Company
American Electric Telephone Company. Sixty-fourth and State streets
American Enameled Brick and Tile Company
American Encaustic Tiling Company Ltd
The American Engine Company
American Filter Company
American Glue Company
American Hair Cloth Company
American Hard Rubber Company
American Hoist and Derrick Company
American Hominy Company
American Horse Shoe Company
American Injector Company
American Iron and Steel Manufacturing Company
American Lady Corset Company
The American Leather Company of New York
American Lithographic Company
American Locomotive Company
The American Mills Company
American Oak Leather Company
American Optical Company
The American Pad and Textile Company
The American Pipe Manufacturing Company
The American Playing Card Company
The American Preserve Company
The American Pulley Company
American Radiator Company
American Seeding Machine Company
American Sheet and Tin Plate Company
American Ship Windlass Company
American Spinning Company
American Steam Gauge and Valve Manufacturing Company
American Steam Pump Company
The American Steel Scraper Company
American Steel and Wire Company
American Stove Company of N. J.
American Tag Company
American Tool and Machine Company
The American Tube and Stamping Company
American Type Founders' Company
American Wood Board Company
American Wood Working Machinery Company
The American Wooden-Ware Manufacturing Company
American Woolen Company
American Writing Paper Company
Ames & Harris Inc
Ames Shovel and Tool Company
Amoskeag Manufacturing Company
The Anchor Nail and Tack Works
Anchor Stove and Range Company Inc
Albert & J. M. Anderson Manufacturing Company
WV H. Anderson & Sons Inc
The A. H. Andrews Company
The Angle Manufacturing Company
Anheuser-Busch Brewing Association
Anniston Cordage Company
The Ansonia Brass and Copper Company
Josiah Anstice & Company
The Anthony & Scovill Company. Works at 46 Jarvis street
The Arabol Manufacturing Company
Arawana Mills
Arcade Manufacturing Company
The Arithmograph Company
Arkell & Smiths
Arkwright Mills
The Arlington Company
Armour & Company
H. J. Armstrong & Company
Armstrong Cork Company
Armstrong & Graham
The Armstrong Manufacturing Company
M. N. Arnold Company
The Arnold Print Works
Art Bedstead Company
Ashtabula Hide and Leather Company
The Ashton Valve Company
The Aspinook Company
Aspinwall Manufacturing Company
Astoria Silk Works
The Atchison Saddlery Company
Benjamin Atha & Company
E. C. Atkins & Company Inc
Atlanta Steel Hoop Company
Atlantic Cotton Mills
Atlantic Terra Cotta Company
Atlantic Works
Atlas Engine Works
Atlas Lumber and Shingle Company
Atlas Portland Cement Company
F. E. Atteaux & Company Incorporated
